league,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
austria,-7,4,5,1,0.8,0.2,-6,-8
austria,-6,6,15,9,0.4,0.6,-5,-7
austria,-5,10,30,20,0.3333,0.6667,-4,-6
austria,-4,30,72,42,0.4167,0.5833,-3,-5
austria,-3,72,173,101,0.4162,0.5838,-2,-4
austria,-2,159,380,221,0.4184,0.5816,-1,-3
austria,-1,320,684,364,0.4678,0.5322,0,-2
austria,0,658,1316,658,0.5,0.5,1,-1
austria,1,364,684,320,0.5322,0.4678,2,0
austria,2,221,380,159,0.5816,0.4184,3,1
austria,3,101,173,72,0.5838,0.4162,4,2
austria,4,42,72,30,0.5833,0.4167,5,3
austria,5,20,30,10,0.6667,0.3333,6,4
austria,6,9,15,6,0.6,0.4,7,5
austria,7,1,5,4,0.2,0.8,8,6
